Subject	TrialId	bin	pupil_change
1240	10	50	-0.06759109139784947
1240	10	100	-0.09248292473118284
1240	10	150	-0.10271209139784943
1240	10	200	-0.08345942473118277
1240	10	250	-0.08509159139784954
1240	10	300	-0.09122792473118284
1240	10	350	-0.0725227580645161
1240	10	400	-0.030267424731182713
1240	10	450	-0.009361091397849464
1240	10	500	0.019762575268817157
1240	10	550	0.08496824193548387
1240	10	600	0.11521807526881722
1240	10	650	0.1879394086021505
1240	10	700	0.17401874193548386
1240	10	750	0.19137107526881728
1240	10	800	0.20396624193548388
1240	10	850	0.2206945752688172
1240	10	900	0.2177594086021505
1240	10	950	0.1997317419354839
1240	10	1e3	0.22757907526881724
1240	10	1050	0.2508484086021505
1240	10	1100	0.3066355752688171
1240	10	1150	0.3243714086021505
1240	11	-200	0.053991359447004506
1240	11	-150	-0.01950735483870984
1240	11	-100	-0.028044688172043013
1240	11	-50	-0.006252854838709743
1240	11	0	-0.009185021505376442
1240	11	50	0.007769311827956778
1240	11	100	-0.019774188172043017
1240	11	150	0.0018598118279569142
1240	11	200	-0.02843118817204308
1240	11	250	-0.05079252150537646
1240	11	300	-0.08017385483870972
1240	11	350	-0.07747518817204317
1240	11	400	-0.09141952150537642
1240	11	450	-0.07904685483870984
1240	11	500	-0.07734018817204309
1240	11	550	-0.04049968817204319
1240	11	600	0.010767311827956908
1240	11	650	-0.06172735483870969
1240	11	700	-0.07595368817204314
1240	11	750	-0.09223568817204313
1240	11	800	-0.1291103548387098
1240	11	850	NA
1240	11	900	NA
1240	11	950	-0.08438085483870972
1240	11	1e3	-0.0051311881720432035
1240	11	1050	-0.0028676881720432292
1240	11	1100	0.029527645161290323
1240	11	1150	0.04362097849462362
1240	13	-200	-0.03785480184331792
1240	13	-150	-0.019088016129032177
1240	13	-100	0.018264817204301103
1240	13	-50	0.04743998387096782
1240	13	0	-0.0024528494623653843
1240	13	50	0.009374317204301116
1240	13	100	0.029686983870967836
1240	13	150	0.0277436505376345
1240	13	200	0.06276698387096784
1240	13	250	0.11294548387096781
1240	13	300	0.14811215053763446
1240	13	350	0.1096464838709678
1240	13	400	0.17205515053763443
1240	13	450	0.20658931720430118
1240	13	500	0.2294868172043012
1240	13	550	0.26678681720430114
1240	13	600	0.30331015053763455
1240	13	650	0.24456665053763457
1240	13	700	0.1565806505376345
1240	13	750	0.11078281720430112
1240	13	800	0.08576365053763446
1240	13	850	0.06657831720430123
1240	13	900	0.03098398387096768
1240	13	950	NA
1240	13	1e3	NA
1240	13	1050	-0.026703316129032206
1240	13	1100	0.14719098387096788
1240	13	1150	0.18303615053763447
1240	15	-200	-0.03192066359447005
1240	15	-150	-0.028472973118279565
1240	15	-100	0.004737360215053776
1240	15	-50	0.013145693548387053
1240	15	0	0.04783069354838713
1240	15	50	0.04707102688172049
1240	15	100	0.07438636021505378
1240	15	150	0.0626681935483872
1240	15	200	0.04746686021505372
1240	15	250	-0.0022216397849462353
1240	15	300	0.05043202688172044
1240	15	350	0.051476860215053856
1240	15	400	0.0918346935483872
1240	15	450	0.08373036021505387
1240	15	500	0.1713896935483871
1240	15	550	0.18986569354838712
1240	15	600	0.25446852688172034
1240	15	650	0.19018719354838698
1240	15	700	NA
1240	15	750	NA
1240	15	800	0.12566459354838705
1240	15	850	0.17738936021505367
1240	15	900	0.12216152688172051
1240	15	950	0.13575419354838716
1240	15	1e3	0.1375105268817204
1240	15	1050	0.16676236021505378
1240	15	1100	0.14323969354838706
1240	15	1150	0.11117636021505373
1240	16	-200	-0.03189807373271877
1240	16	-150	-0.02109264516129013
1240	16	-100	0.0025115215053765905
1240	16	-50	0.006483854838709909
1240	16	0	0.04931168817204316
1240	16	50	0.06720185483870988
1240	16	100	0.08192618817204322
